temperature,humidity,rainfall,soil_quality,fertilizer,crop_yield
26.5,76.9,360.7,3.54,21.3,47.94
27.2,58.1,216.1,4.5,76.1,65.16
17.4,54.5,253.7,7.86,22.6,43.39
24.2,78.0,237.7,3.76,17.4,49.75
36.1,78.0,222.5,8.61,111.6,52.25
29.5,92.0,323.6,7.38,25.3,53.58
19.1,69.1,293.5,3.71,24.8,33.61
22.8,52.7,438.8,5.01,94.8,50.31
19.4,64.4,105.6,3.96,7.0,33.42
15.6,71.8,279.4,8.58,5.3,40.4
36.3,60.6,75.3,6.73,69.0,40.71
25.3,82.5,373.2,3.02,58.4,51.9
22.1,70.1,296.5,6.8,87.1,52.76
28.8,35.6,221.4,6.38,159.0,62.04
15.2,69.2,370.9,7.5,69.6,40.28
21.4,73.0,232.0,3.24,92.2,50.89
31.2,89.9,141.1,3.25,147.1,45.65
29.6,59.8,239.0,5.45,77.3,51.24
37.6,69.5,78.3,7.82,125.0,45.14
29.3,63.5,409.1,7.67,87.8,56.08
26.0,66.9,342.4,4.95,102.0,55.5
32.5,39.0,354.1,4.51,149.2,46.97
35.8,88.8,399.8,7.78,0.1,29.69
31.6,89.6,366.6,3.19,144.2,44.2
37.2,67.9,222.7,6.9,79.6,50.31
33.0,68.4,97.5,5.97,97.1,43.98
34.9,38.5,199.3,4.67,72.0,49.18
17.6,70.9,423.6,6.64,41.7,44.58
31.8,60.7,429.6,4.52,10.6,45.15
25.1,77.5,357.1,6.95,151.2,64.36
27.7,37.8,131.8,4.04,99.8,57.57
30.0,77.7,127.8,5.84,139.8,51.83
37.3,52.2,401.9,6.57,46.5,32.38
37.6,74.1,106.8,3.22,44.5,29.48
21.6,72.6,283.7,7.28,53.7,54.92
31.9,48.6,201.3,8.25,37.0,57.65
32.2,61.4,170.8,9.69,79.7,58.9
23.0,85.1,321.0,4.42,149.8,50.1
17.8,71.3,433.8,4.46,140.2,42.53
15.9,39.1,361.1,5.13,79.2,36.84
32.9,61.6,244.5,9.24,55.8,51.24
26.3,53.7,226.3,5.85,97.9,66.25
37.7,73.5,413.1,5.11,98.0,33.64
25.7,71.9,281.2,8.19,109.4,62.77
37.5,35.6,248.7,3.27,85.7,28.93
24.5,71.5,323.1,6.84,4.3,52.46
33.3,79.1,144.9,6.15,12.2,37.73
17.0,81.1,75.5,7.37,155.8,47.26
27.8,38.5,392.0,8.12,119.4,61.2
33.4,53.2,292.9,5.27,151.7,43.71
36.3,60.3,116.0,7.45,54.3,45.98
33.9,45.8,169.2,6.67,85.6,50.91
15.9,60.2,446.0,3.94,51.5,32.52
23.6,39.3,303.8,9.17,145.4,61.36
16.1,41.8,304.4,8.28,46.0,37.77
17.5,75.1,78.9,9.45,111.0,50.24
30.5,50.8,437.6,8.04,28.0,52.07
31.4,77.7,407.1,4.71,16.8,35.74
32.8,37.9,269.1,6.01,24.9,36.34
34.9,68.8,173.8,5.71,84.7,47.34
32.0,58.5,329.2,3.25,135.1,40.67
33.4,82.8,383.3,5.87,159.9,45.28
16.1,82.0,364.4,5.42,99.6,39.26
20.4,57.5,440.8,3.03,85.4,42.23
29.3,72.4,304.7,8.93,125.9,63.56
34.7,48.7,178.5,4.01,10.2,38.8
15.1,69.8,249.2,6.51,129.5,43.19
26.8,39.9,376.5,8.49,121.3,60.35
30.6,61.1,156.1,7.23,84.7,57.53
15.7,46.0,142.6,4.19,3.7,29.27
24.2,88.0,339.9,7.33,32.4,51.6
35.6,61.7,227.8,8.3,59.2,50.69
30.4,70.4,376.6,8.98,150.6,59.84
20.5,56.6,107.5,5.23,102.2,48.84
34.6,52.3,184.3,3.24,81.6,47.77
23.0,47.2,157.2,7.26,78.1,57.11
34.6,89.7,329.1,4.58,124.8,41.24
21.9,83.0,353.7,8.47,51.8,56.2
28.6,43.0,232.4,7.76,15.1,56.48
24.1,79.8,241.2,8.41,108.3,62.23
21.3,60.1,102.8,9.77,52.6,55.46
35.4,35.9,330.7,7.09,52.1,35.13
19.3,66.7,446.9,9.33,72.8,53.53
17.0,42.8,361.2,7.49,38.8,43.48
22.9,47.6,139.2,4.27,147.5,56.55
31.5,76.8,299.2,8.6,135.5,52.75
33.6,50.4,168.0,7.86,158.6,57.03
38.0,88.5,62.1,9.85,154.3,46.76
21.8,74.4,121.9,4.7,50.3,40.64
24.4,84.9,91.0,5.33,60.9,52.49
18.1,71.9,128.4,8.75,111.7,49.37
28.2,87.1,368.2,3.44,2.5,46.68
37.9,56.7,167.1,7.43,159.0,45.6
31.1,67.9,352.8,6.75,1.7,46.92
28.7,66.0,429.5,4.18,85.0,52.04
24.0,89.2,279.7,4.16,107.0,48.48
36.1,44.9,244.2,8.67,146.3,47.08
26.4,69.7,350.1,3.11,103.1,57.47
18.1,80.3,88.8,8.23,95.5,47.47
23.4,57.2,221.3,8.13,48.1,69.73
16.5,87.1,249.5,7.55,94.5,47.11
19.6,57.4,382.4,5.87,120.0,46.72
15.4,45.4,375.7,3.2,82.5,28.6
25.4,70.0,389.3,8.61,124.7,62.09
29.6,60.2,329.1,3.88,11.1,47.93
22.9,35.9,262.2,4.97,53.7,49.75
24.7,39.2,381.2,9.63,153.6,60.66
37.1,46.7,399.3,5.11,51.8,36.24
32.3,81.2,242.2,4.79,99.5,42.28
27.4,88.5,444.3,9.81,83.2,61.76
21.5,67.7,399.9,3.6,149.9,49.08
35.6,41.3,254.2,4.12,26.0,39.01
20.4,67.1,77.7,6.07,47.9,49.35
22.5,86.3,139.8,8.51,138.0,58.91
35.9,80.0,360.6,9.19,106.6,47.14
27.2,52.5,94.5,8.29,86.9,64.81
32.1,42.4,237.9,9.83,63.2,60.97
28.6,89.0,291.9,3.12,65.8,46.58
30.0,86.2,401.3,7.34,149.6,55.57
21.9,38.2,388.8,3.81,107.4,44.95
20.6,84.4,355.7,9.37,148.7,58.94
22.4,40.8,213.1,9.55,155.5,76.51
18.6,38.8,106.9,5.12,87.5,35.75
35.1,80.5,317.9,8.79,97.6,45.9
21.5,67.2,122.5,7.41,105.0,52.56
27.9,59.9,274.5,3.7,134.3,54.42
33.2,89.2,442.3,7.22,105.5,43.5
33.0,85.4,270.1,9.83,18.3,43.87
25.1,38.5,308.2,5.16,150.8,59.56
26.0,72.0,321.0,3.01,105.7,52.49
37.9,81.3,382.2,9.84,139.2,46.9
30.5,68.0,224.0,5.9,68.0,60.28
33.7,94.0,249.0,6.02,76.0,45.88
35.8,76.2,120.4,7.99,110.2,44.05
33.1,41.2,295.9,7.23,124.2,46.71
19.3,46.9,168.3,5.11,12.6,42.34
27.9,84.6,253.0,3.7,65.2,54.03
17.3,94.8,356.6,8.79,123.2,47.24
30.0,40.9,57.0,6.38,158.8,53.18
37.0,41.0,275.6,7.71,1.9,35.59
26.8,80.8,119.4,9.02,42.4,66.09
25.0,38.9,161.8,3.12,74.4,53.66
15.8,39.1,63.9,9.02,35.7,40.41
37.1,88.3,117.8,8.26,4.3,41.27
17.4,83.0,444.7,9.63,86.3,52.58
15.9,87.9,449.4,4.64,103.9,39.86
20.7,74.0,337.9,5.26,66.6,45.32
16.5,54.4,294.7,7.63,59.2,40.59
25.5,89.4,360.8,9.48,157.7,60.77
26.9,52.9,408.6,9.95,76.4,68.15
22.2,51.5,257.7,5.92,127.7,55.0
16.2,88.2,64.1,6.77,45.9,32.93
17.6,75.8,333.8,4.19,132.8,43.32
23.8,88.7,443.8,7.86,131.8,59.73
16.4,44.4,153.2,8.86,42.8,43.99
31.1,92.1,235.4,8.59,104.9,55.15
19.8,71.8,194.5,5.42,109.1,62.08
21.9,75.1,206.2,9.74,70.8,74.46
24.1,89.8,338.6,3.84,123.8,52.18
24.6,57.8,201.4,6.46,49.1,69.05
15.0,78.2,426.4,6.88,77.5,47.16
17.6,73.4,365.9,6.76,158.4,42.39
34.8,82.3,61.1,8.31,28.6,39.72
15.0,88.8,377.4,7.27,23.6,37.68
26.7,75.8,359.1,3.54,22.8,45.33
26.3,39.1,256.6,4.26,159.7,52.63
22.7,46.0,248.7,6.73,25.6,55.45
24.9,92.2,384.2,7.86,30.4,58.0
33.0,93.1,219.9,6.6,111.2,57.29
34.3,93.0,113.8,5.49,121.5,41.69
21.0,37.2,175.2,3.36,84.3,49.12
22.4,57.9,156.1,8.5,157.2,62.63
20.6,80.6,322.4,6.48,6.2,43.22
26.0,80.2,121.5,6.77,99.3,62.35
30.7,40.2,307.9,6.28,97.0,51.94
20.2,71.6,236.4,4.86,51.4,45.67
22.6,43.6,385.9,4.93,143.9,54.75
36.4,64.6,244.0,3.44,88.5,32.58
16.1,49.4,421.9,7.95,39.4,39.59
25.6,38.2,410.2,4.9,14.1,45.79
31.4,39.8,124.1,5.09,17.1,38.65
18.5,89.7,324.5,9.95,143.6,58.23
16.1,79.7,135.8,5.7,40.0,32.07
18.2,90.9,379.3,6.57,145.1,42.76
36.1,63.2,304.3,5.71,19.2,36.21
15.2,59.8,167.6,5.03,157.4,43.13
19.3,56.5,149.6,3.04,133.3,43.37
15.7,72.0,221.8,8.98,18.6,54.11
17.5,56.1,370.3,6.31,13.8,39.37
29.3,79.8,368.5,8.04,128.5,58.36
20.6,83.1,63.4,9.71,12.5,50.24
28.1,87.6,170.9,3.02,41.9,54.32
28.6,49.6,219.1,7.73,128.2,72.16
34.5,66.6,284.2,3.83,145.2,40.01
15.1,48.4,109.8,6.21,122.8,41.0
34.6,37.3,184.1,8.93,142.4,60.43
29.2,77.5,404.2,3.5,89.6,48.81
18.7,67.9,240.6,9.93,124.7,56.38
32.8,78.4,347.7,7.07,55.1,47.92
34.7,40.3,243.9,5.76,125.6,44.8
20.8,94.7,236.0,3.14,108.8,41.61
36.1,94.7,298.8,7.11,92.0,38.27
25.5,62.9,153.7,6.46,158.8,62.12
28.9,87.0,149.9,4.51,75.2,51.28
37.6,49.6,445.7,6.43,99.1,42.48
23.3,79.3,397.6,3.09,81.6,57.73
33.7,87.8,345.1,10.0,41.7,41.25
22.3,83.9,104.9,5.32,52.9,50.05
33.4,83.7,62.1,6.36,156.6,46.39
28.8,62.8,120.2,8.49,62.7,59.29
20.0,84.2,425.1,7.99,108.7,53.47
24.5,76.4,376.5,9.22,90.7,64.58
22.3,42.9,259.2,9.59,142.4,61.16
16.8,41.9,437.5,4.32,121.2,37.71
15.7,81.3,108.6,5.73,12.9,34.35
23.0,72.5,273.7,7.81,56.9,58.44
15.4,66.2,123.3,3.32,113.9,35.91
18.8,89.4,172.6,8.02,25.8,49.06
31.7,74.6,426.1,3.03,80.6,49.87
31.3,58.8,397.3,9.4,50.8,55.72
32.0,59.8,90.7,8.03,10.4,48.7
22.3,71.3,149.8,6.96,159.5,57.44
35.5,80.6,287.8,6.0,148.7,42.34
28.7,68.9,74.5,9.92,119.6,66.03
17.9,65.5,270.0,8.16,32.2,39.33
18.3,78.6,283.8,8.65,158.2,48.77
30.9,77.3,166.4,8.78,100.9,59.63
19.0,84.8,167.2,3.15,154.6,43.82
26.7,38.8,141.6,3.38,6.8,42.63
37.8,80.3,424.3,4.39,27.8,30.13
15.1,65.8,205.5,7.59,108.4,61.29
15.4,39.5,284.1,7.37,145.1,42.72
37.8,75.7,170.6,5.28,28.1,35.4
28.4,78.0,331.1,9.81,50.7,58.57
17.9,66.4,90.6,3.65,94.1,38.04
35.6,82.6,78.7,8.44,159.9,42.56
35.2,53.0,347.7,6.37,127.9,43.78
27.3,47.1,340.7,5.93,147.8,62.18
29.3,56.0,156.0,3.18,108.0,50.15
21.3,59.6,192.0,8.09,140.4,70.77
16.2,76.8,432.9,8.4,81.1,43.43
28.7,85.7,91.7,5.23,19.9,46.39
21.8,78.3,123.3,6.62,113.5,54.84
30.3,45.4,222.0,7.25,96.2,61.48
34.2,57.0,162.8,5.57,77.7,43.24
15.4,44.5,309.6,7.31,44.0,33.7
28.7,76.2,326.2,6.04,125.5,57.01
20.3,49.9,260.6,9.15,131.3,59.67
35.1,66.5,294.5,8.03,58.3,46.4
20.8,82.5,223.4,3.77,148.4,58.93
29.0,75.3,354.2,8.6,59.2,56.71
27.7,52.9,66.8,5.36,17.2,52.77
24.1,55.0,175.2,9.55,26.6,64.98
30.6,74.2,323.8,7.22,79.1,55.47
31.7,68.0,181.9,3.19,12.8,52.6
28.0,40.8,81.4,8.14,114.9,62.41
32.4,87.4,188.0,3.92,127.2,59.55
37.6,65.8,334.6,9.14,87.9,43.86
24.6,63.4,98.8,9.64,142.9,67.09
26.8,46.9,339.9,7.87,152.7,60.31
15.3,57.6,360.2,6.73,71.6,39.99
33.3,55.0,304.1,7.21,14.3,42.48
27.0,51.2,147.7,6.0,37.0,55.45
24.4,69.0,372.1,3.59,105.2,52.05
17.2,62.7,135.8,9.5,64.9,47.3
35.5,88.4,412.3,5.3,109.6,39.9
24.1,91.5,332.7,5.19,106.7,54.09
30.7,48.2,71.9,4.34,96.9,44.14
18.4,41.0,369.7,9.95,25.3,41.49
37.1,82.1,252.6,9.6,45.7,42.4
19.1,94.7,231.1,5.45,60.5,43.19
19.6,86.8,218.2,4.82,131.9,52.77
34.8,36.4,292.7,8.64,109.2,45.45
36.0,50.1,339.8,5.96,103.2,39.63
19.9,37.6,408.4,9.77,107.5,52.87
25.8,84.2,159.2,9.31,80.5,73.28
31.9,69.9,302.3,8.32,6.3,43.54
35.2,65.8,324.5,3.63,32.2,36.41
23.7,68.3,319.9,7.91,22.4,55.72
26.9,50.1,247.2,9.91,10.2,59.9
32.1,71.1,206.4,5.61,51.1,59.98
31.8,36.8,355.0,9.17,126.0,53.42
33.0,73.8,170.0,5.86,18.4,44.04
28.1,79.1,133.2,9.8,17.8,64.33
17.4,75.4,268.3,7.58,19.9,34.48
35.8,54.9,157.0,3.68,43.2,34.37
34.9,84.6,63.3,6.35,32.4,38.21
33.4,77.9,70.6,3.35,2.2,35.95
17.3,42.7,328.0,5.77,44.2,36.44
19.7,46.7,439.3,9.41,159.4,62.59
32.1,73.2,231.9,4.63,53.8,50.42
15.5,52.4,108.8,9.65,33.8,36.48
37.5,42.2,377.2,3.7,79.3,27.84
23.7,44.3,154.6,7.65,36.7,58.22
31.5,44.9,448.3,9.76,89.5,52.82
35.4,63.7,275.3,7.58,64.1,45.0
24.1,71.4,143.1,9.29,143.5,65.12
22.3,45.6,248.4,9.94,148.5,61.0
29.0,77.7,184.2,7.49,114.1,67.34
28.4,51.9,361.8,8.48,34.5,59.87
24.4,53.7,92.3,3.22,75.8,45.01
28.8,48.4,392.8,5.99,48.9,55.19
36.5,82.1,356.9,5.02,127.7,40.97
25.8,92.6,394.5,8.77,4.7,55.17
19.5,64.5,408.0,7.74,106.0,47.86
23.7,37.5,141.9,7.3,51.7,57.48
24.1,50.6,258.4,9.52,77.0,62.54
18.0,44.5,390.0,3.62,51.7,30.89
18.7,85.6,201.0,9.68,58.4,69.2
30.7,40.1,74.2,3.71,107.9,43.19
22.8,93.0,166.7,5.43,95.3,53.21
37.0,70.3,146.8,7.41,39.1,40.8
20.6,66.1,398.0,5.39,7.0,42.31
17.3,85.8,235.5,7.78,137.0,54.84
32.3,36.7,323.4,8.43,78.8,48.96
35.3,81.6,434.8,8.8,99.0,45.71
21.4,42.0,169.7,4.26,78.2,53.06
19.6,85.4,354.5,4.27,99.0,43.43
19.3,66.8,59.1,3.37,100.3,42.32
27.0,38.7,91.6,6.44,2.4,51.45
25.8,85.0,114.7,3.96,85.3,53.45
21.0,36.6,175.0,5.23,80.3,53.44
16.0,43.3,211.2,8.88,15.3,54.48
26.1,82.9,240.8,9.64,119.3,68.52
37.1,62.9,148.1,8.75,37.7,45.29
30.0,87.9,76.5,3.0,8.7,43.2
26.4,73.1,321.0,6.98,128.5,59.87
17.5,72.4,59.5,4.17,138.4,46.96
20.8,52.5,373.8,5.63,38.5,43.54
21.8,43.0,421.7,6.0,110.0,50.11
32.6,92.7,334.1,9.6,0.8,47.02
35.2,41.3,288.4,7.44,115.4,45.27
35.7,66.7,312.8,4.87,74.4,38.03
37.6,51.4,310.9,7.5,126.8,44.64
37.6,50.8,422.7,9.66,62.9,44.81
36.9,70.7,435.7,3.41,56.2,37.63
16.7,82.9,220.7,8.71,134.5,56.71
18.2,81.6,296.8,4.52,6.2,31.18
22.0,87.1,371.1,4.07,29.9,42.14
27.7,52.6,50.4,9.29,65.9,63.89
17.2,62.9,260.8,3.01,95.4,38.34
34.5,35.6,311.2,8.19,0.8,38.99
29.2,79.8,336.9,3.61,92.0,46.96
27.5,53.1,197.5,7.33,60.6,75.46
18.8,68.7,168.3,7.35,100.8,59.89
20.8,45.2,122.9,9.04,145.1,57.15
18.7,84.2,273.1,8.76,70.5,53.9
34.6,84.0,417.7,7.8,88.7,47.54
28.4,87.6,408.4,5.66,74.0,59.71
31.9,37.8,194.0,4.16,19.0,52.55
21.8,94.5,153.1,7.45,126.9,57.36
23.5,49.9,365.5,6.48,141.6,60.49
24.3,53.6,340.0,3.55,129.8,52.06
32.5,50.0,252.1,9.69,151.6,57.91
32.8,51.1,205.6,5.2,74.9,60.52
19.8,68.2,99.5,3.01,104.4,44.44
36.7,49.4,364.1,9.31,26.9,41.23
17.8,58.6,297.0,7.04,156.3,47.47
35.6,74.3,200.8,8.13,92.9,61.28
17.3,85.2,417.5,4.07,41.9,36.03
21.1,76.6,313.9,5.83,128.9,53.49
34.5,70.7,421.7,7.52,93.8,47.05
19.1,43.9,239.8,4.76,151.9,44.83
24.5,84.0,231.8,7.91,123.2,65.67
25.3,37.2,424.9,4.64,140.4,56.59
20.6,50.9,433.9,4.46,87.5,48.09
31.3,38.4,434.3,3.08,82.8,43.61
34.6,75.0,377.6,4.97,121.2,39.25
35.1,57.1,235.0,4.73,16.8,37.69
22.8,74.1,134.1,8.35,8.6,50.5
27.2,55.8,203.4,6.99,157.4,71.44
20.7,62.3,425.3,4.24,146.6,48.33
20.6,62.5,195.4,6.98,152.9,71.21
18.7,37.7,352.7,4.58,10.0,34.63
36.6,60.8,419.2,5.98,43.1,42.03
35.4,73.5,438.2,9.22,144.2,48.72
32.9,67.8,429.1,8.03,14.3,45.12
26.9,39.5,272.0,7.56,72.2,56.4
26.3,75.1,246.8,4.97,54.6,55.01
27.2,53.5,445.1,3.87,140.8,51.34
27.3,35.9,137.3,8.27,82.9,56.53
25.0,44.3,125.0,6.98,46.5,53.19
18.0,64.9,435.3,7.36,83.9,46.96
17.9,53.6,325.7,9.83,18.0,43.72
36.9,76.7,264.5,5.44,117.0,37.55
26.1,49.4,102.8,8.61,98.9,64.88
36.9,81.4,255.3,6.91,96.1,37.12
18.8,52.2,427.7,4.65,70.1,40.97
27.8,72.3,291.2,3.37,47.1,51.58
19.8,83.0,211.9,7.31,10.5,58.38
20.8,58.1,270.4,5.08,151.5,51.42
15.7,37.8,404.5,7.87,66.6,40.64
17.7,67.1,415.1,7.91,79.3,45.14
36.1,94.7,210.0,6.19,60.1,49.45
22.4,93.1,293.2,6.75,158.1,60.03
29.0,48.3,161.7,7.39,127.4,63.18
25.7,80.3,230.4,6.28,15.3,58.76
24.2,55.7,138.0,9.14,97.3,66.1
27.2,44.6,262.6,3.53,77.5,51.6
19.3,75.0,281.3,9.86,126.9,56.19
37.7,65.1,185.1,3.23,159.6,45.55
33.8,67.4,158.8,4.46,119.1,44.0
32.1,84.6,110.4,7.96,138.4,55.26
25.8,55.2,105.8,3.59,80.4,47.34
18.5,75.0,334.6,4.84,59.8,41.51
36.2,57.0,138.7,4.08,102.9,35.56
22.9,37.6,97.2,8.07,119.9,53.38
16.2,57.7,449.5,7.05,36.4,36.35
22.9,92.0,154.0,3.45,80.5,49.52
33.3,64.0,408.4,6.22,18.2,41.14
29.3,41.5,293.7,4.46,34.6,48.41
32.3,76.3,336.0,9.77,141.1,58.74
33.3,92.8,274.4,3.76,23.2,29.73
19.9,89.5,122.3,7.19,129.8,51.25
36.2,69.3,388.8,6.37,59.6,41.2
25.1,57.6,381.2,7.05,106.2,61.69
29.7,69.8,189.9,9.7,145.7,77.43
15.1,84.0,355.5,5.39,124.9,32.65
37.8,86.7,267.2,8.24,132.2,40.65
21.5,84.1,413.6,6.13,41.8,51.78
16.4,62.3,371.1,7.63,57.9,41.93
25.5,42.1,66.4,5.56,117.2,63.5
18.0,69.2,401.7,4.59,124.4,38.37
18.5,44.4,437.4,3.59,126.4,44.0
29.5,38.7,346.9,3.71,118.4,47.06
24.0,64.9,98.0,9.72,37.1,64.44
36.2,74.3,373.0,8.52,46.3,41.5
22.3,86.2,309.0,4.71,150.7,51.87
31.7,82.0,185.5,6.7,88.6,62.68
25.6,86.4,403.6,8.0,120.7,60.91
30.2,80.6,276.2,5.47,95.9,53.39
28.8,77.2,391.2,6.08,147.9,56.24
25.9,35.6,318.0,8.03,139.0,62.93
36.9,72.6,165.4,4.59,41.8,30.5
22.9,42.2,440.0,6.68,141.6,55.72
19.1,38.5,278.4,4.47,48.0,42.03
30.6,44.4,256.7,3.02,70.6,45.91
34.5,84.4,211.4,7.83,136.2,61.83
15.9,79.6,104.5,7.95,51.8,41.43
25.3,91.9,324.5,9.97,46.5,67.08
35.5,93.7,222.3,4.27,107.0,45.87
32.2,88.6,423.8,8.18,159.9,50.41
37.8,43.0,436.0,9.64,21.0,42.23
27.2,87.7,357.1,7.51,112.2,63.32
30.2,85.3,147.0,9.74,84.3,61.99
22.0,87.3,336.4,9.96,65.7,57.54
36.8,44.1,58.2,8.61,120.0,45.49
23.4,42.0,380.6,10.0,88.8,67.01
32.0,90.4,247.4,7.38,127.6,53.95
24.3,45.4,424.7,6.48,119.0,54.32
27.9,57.1,201.1,9.42,157.6,78.08
31.6,62.4,155.3,8.82,129.7,57.22
26.7,42.5,448.0,3.77,10.7,44.37
35.9,36.2,262.3,5.12,124.7,32.46
24.6,94.6,395.3,4.82,104.0,59.39
29.9,87.6,414.4,8.99,14.4,50.32
22.9,89.7,257.4,4.63,96.9,49.46
24.4,52.1,232.3,5.13,120.1,56.39
25.1,48.2,271.2,6.63,31.6,57.42
17.9,60.6,389.1,3.53,69.6,36.99
17.1,62.2,435.9,9.73,86.8,48.93
30.4,35.3,181.3,6.44,66.1,59.33
30.1,81.8,345.5,4.33,140.2,51.7
30.2,94.8,164.1,4.9,27.0,46.98
15.5,66.7,294.4,8.59,123.4,41.04
22.5,58.3,371.9,7.44,124.5,54.88
19.5,58.6,404.6,6.25,71.7,42.82
32.9,40.8,229.5,5.32,86.3,50.06
34.8,51.0,197.9,9.3,24.6,60.38
20.7,65.1,151.4,8.41,31.2,57.21
30.4,60.9,103.4,8.03,85.1,51.89
18.0,67.7,196.0,6.12,35.9,56.07
21.3,85.9,398.8,9.87,129.0,57.98
18.2,48.5,217.5,7.97,98.6,66.45
21.5,36.7,176.9,5.97,9.1,56.51
30.5,37.3,345.7,9.72,57.3,60.76
35.9,43.1,136.2,9.27,137.3,49.97
19.7,69.2,152.5,8.18,44.4,52.09
27.5,83.5,424.4,8.37,115.2,61.6
31.1,88.2,82.6,5.97,15.0,41.68
36.9,73.1,215.9,6.55,148.9,50.7
29.0,59.2,280.7,4.34,71.9,52.65
20.9,44.3,142.1,7.17,78.7,56.06
29.4,59.1,162.4,5.59,91.2,56.69
22.4,54.9,138.7,5.43,58.1,49.1
37.5,87.2,188.1,9.64,116.0,54.18
24.2,64.2,409.4,4.15,2.3,47.84
30.8,48.6,222.6,8.81,26.0,64.14
15.5,52.3,217.1,4.97,30.2,47.28
24.2,43.2,204.6,3.2,101.7,68.32
35.1,90.1,435.6,3.28,142.5,36.94
29.0,38.0,96.9,6.0,10.2,47.84
25.2,35.8,398.8,6.18,136.4,61.88
36.5,46.0,180.9,5.24,131.1,45.28
34.6,83.7,432.6,7.68,12.3,37.87
22.4,66.4,176.1,6.4,22.9,63.76
27.5,72.6,83.1,3.52,56.0,47.41
26.3,56.5,258.0,5.44,18.3,52.66
29.5,39.1,141.1,3.71,121.3,51.28
22.7,86.4,351.2,3.44,80.7,47.82
20.6,46.5,312.9,4.46,65.7,47.32
36.0,37.0,324.6,7.9,116.0,47.73
36.2,69.4,127.4,7.87,46.9,42.84
34.4,40.0,333.5,9.03,139.4,52.99
37.5,40.7,174.5,8.29,104.6,47.82
32.1,83.0,449.5,6.75,55.4,45.93
32.6,64.5,342.7,5.19,86.4,52.05
32.5,49.5,286.2,3.04,41.5,42.2
26.1,55.9,396.8,7.53,157.6,59.62
25.5,78.8,285.7,5.03,69.7,54.76
20.5,39.0,271.1,4.75,143.5,47.24
29.8,42.0,144.9,9.82,156.5,63.83
21.7,72.0,321.2,4.22,85.7,51.87
20.9,71.4,199.9,3.23,116.8,64.81
28.5,93.3,67.2,9.65,91.6,62.34
24.4,57.5,376.4,5.14,14.7,53.39
20.0,38.9,70.7,5.75,152.4,49.45
33.8,67.3,318.9,3.57,73.1,38.33
34.8,73.3,112.7,5.83,143.1,38.35
18.9,43.4,223.0,9.81,104.9,64.3
15.2,68.2,393.6,7.86,16.8,39.85
22.7,46.9,87.8,6.32,66.7,54.28
33.3,85.7,316.9,5.15,31.3,35.29
34.3,85.1,295.0,5.56,27.2,42.09
18.2,60.8,397.0,7.28,114.4,48.18
32.8,93.0,119.1,4.78,4.8,32.12
17.7,93.8,369.9,4.06,154.6,34.92
24.0,42.8,230.0,7.87,72.0,66.82
38.0,57.1,221.5,9.09,78.4,55.29
19.4,71.0,194.7,9.31,47.9,63.49
18.5,40.1,204.2,8.89,13.7,58.69
24.7,58.0,258.0,6.71,94.1,62.18
29.3,50.7,92.7,8.52,55.2,57.78
36.5,92.1,220.0,9.48,99.9,53.52
37.6,59.7,310.8,3.16,88.9,35.39
16.6,80.8,249.3,5.88,34.7,40.35
18.2,58.2,116.3,4.43,73.9,41.37
33.2,42.9,195.2,9.98,49.3,61.25
21.2,86.8,227.2,9.51,38.4,57.42
35.4,35.0,317.5,8.62,123.2,46.11
30.3,38.4,410.3,5.07,1.9,44.61
17.6,56.9,270.2,9.66,43.0,50.41
34.1,76.2,320.5,3.2,85.0,38.41
19.1,55.5,80.9,4.32,76.2,40.1
24.7,39.0,431.8,7.32,150.4,58.46
27.7,54.1,176.1,8.55,135.0,72.22
26.5,49.7,191.7,9.19,120.3,78.72
30.8,35.3,139.1,5.1,82.3,50.6
30.0,67.1,83.9,5.74,68.6,50.39
37.8,42.0,366.0,6.18,5.9,29.87
38.0,52.2,146.2,3.19,131.5,39.99
26.9,73.5,163.1,9.05,68.9,71.86
17.2,78.5,122.7,5.37,51.4,35.4
31.7,50.8,440.0,4.39,97.1,49.2
37.5,54.8,362.4,5.86,120.7,36.06
22.3,49.8,422.0,7.97,83.7,55.76
25.6,92.4,394.7,9.1,23.9,57.79
24.8,46.4,412.5,4.51,147.5,55.22
16.2,46.0,241.6,4.21,18.1,35.19
30.5,61.7,118.2,9.61,155.1,61.75
23.1,46.4,180.8,6.86,70.8,67.09
33.1,44.4,167.0,5.56,151.5,49.07
34.1,40.8,336.9,4.4,146.3,41.04
33.9,73.4,60.3,9.97,65.0,50.8
24.6,71.7,106.8,8.03,128.0,59.5
22.4,74.0,323.2,4.53,14.4,46.52
32.2,81.4,99.4,3.64,13.2,36.4
33.4,54.6,69.3,4.39,57.0,37.13
26.3,90.1,93.7,4.73,97.6,53.53
35.5,79.0,326.3,3.78,1.5,27.58
18.3,83.3,105.7,4.61,82.4,39.25
35.2,78.3,108.5,3.82,156.1,42.75
17.2,56.5,142.1,5.64,137.4,49.17
18.5,52.0,350.4,6.4,37.2,33.9
27.3,60.4,130.1,6.19,84.5,59.8
16.6,40.8,64.2,8.8,27.4,43.82
16.2,62.1,412.3,4.78,42.1,34.62
15.0,37.6,400.5,9.21,147.7,48.27
25.0,35.2,123.9,9.36,159.6,69.65
32.8,90.9,156.1,9.72,38.8,47.66
15.8,76.4,125.4,4.27,33.9,32.69
30.0,68.7,337.8,4.72,61.4,54.51
